sats,time,lat,long,velocity_kmh,heading,height,Vert_accel,basura
005,395553.10,-01650.683180,+03895.111000,012.84,277.30,+0310.47,-0003.88,
005,395553.20,-01650.682790,+03895.112640,012.57,277.32,+0307.61,-0003.81,
005,395553.30,-01650.682510,+03895.113980,012.30,276.80,+0305.30,-0003.72,
005,395553.40,-01650.682340,+03895.114910,012.14,275.49,+0303.70,-0003.61,
005,395553.50,-01650.682160,+03895.115830,011.85,275.05,+0302.14,-0003.53,
005,395553.60,-01650.682020,+03895.116750,011.47,273.40,+0300.55,-0003.42,
006,395553.70,-01650.681590,+03895.118520,011.29,272.30,+0297.52,-0003.31,
006,395553.80,-01650.681240,+03895.120000,011.04,271.81,+0294.99,-0003.21,
006,395553.90,-01650.680960,+03895.121300,010.62,270.80,+0292.76,-0003.15,
006,395554.00,-01650.680740,+03895.122290,010.46,269.87,+0291.11,-0003.11,
006,395554.10,-01650.680590,+03895.123060,010.25,269.98,+0289.83,-0003.02,
006,395554.20,-01650.680410,+03895.123830,009.75,269.78,+0288.54,-0002.98,
006,395554.30,-01650.680250,+03895.124590,009.45,268.90,+0287.26,-0002.91,
006,395554.40,-01650.680110,+03895.125250,009.07,268.37,+0286.15,-0002.87,
006,395554.50,-01650.679970,+03895.125920,008.79,267.54,+0285.02,-0002.83,
006,395554.60,-01650.679820,+03895.126540,008.86,267.97,+0284.03,-0002.74,
006,395554.70,-01650.679690,+03895.127150,008.67,268.43,+0283.03,-0002.67,
006,395554.80,-01650.679580,+03895.127790,008.46,267.42,+0281.94,-0002.62,
006,395554.90,-01650.679450,+03895.128330,008.45,267.56,+0281.06,-0002.59,
006,395555.00,-01650.679360,+03895.128820,007.94,267.56,+0280.23,-0002.61,
006,395555.10,-01650.679260,+03895.129370,007.82,267.56,+0279.33,-0002.56,
006,395555.20,-01650.679180,+03895.129950,007.49,267.56,+0278.35,-0002.56,
006,395555.30,-01650.679130,+03895.130490,007.84,267.56,+0277.45,-0002.51,
006,395555.40,-01650.679090,+03895.131030,007.69,267.56,+0276.55,-0002.47,
006,395555.50,-01650.679030,+03895.131530,007.64,267.56,+0275.72,-0002.44,
006,395555.60,-01650.678990,+03895.132000,007.86,267.56,+0274.96,-0002.42,
006,395555.70,-01650.678930,+03895.132410,007.79,267.56,+0274.31,-0002.36,
006,395555.80,-01650.678890,+03895.132870,008.17,267.56,+0273.61,-0002.31,
006,395555.90,-01650.678850,+03895.133270,008.32,267.56,+0273.02,-0002.27,
006,395556.00,-01650.678750,+03895.133490,007.63,267.56,+0272.71,-0002.30,
006,395556.10,-01650.678690,+03895.133720,007.01,267.56,+0272.38,-0002.27,
006,395556.20,-01650.678590,+03895.133930,007.12,267.56,+0272.09,-0002.28,
006,395556.30,-01650.678480,+03895.134090,006.97,267.56,+0271.92,-0002.19,
006,395556.40,-01650.678400,+03895.134300,006.45,267.56,+0271.61,-0002.20,
006,395556.50,-01650.678320,+03895.134480,006.22,267.56,+0271.34,-0002.22,
006,395556.60,-01650.678240,+03895.134670,006.08,267.56,+0271.09,-0002.14,
006,395556.70,-01650.678130,+03895.134810,006.09,267.56,+0270.93,-0002.08,
006,395556.80,-01650.678070,+03895.134950,005.52,267.56,+0270.71,-0002.11,
006,395556.90,-01650.677980,+03895.135090,005.73,267.56,+0270.53,-0002.03,
006,395557.00,-01650.677910,+03895.135230,005.67,267.56,+0270.38,-0001.94,
006,395557.10,-01650.677860,+03895.135310,005.21,267.56,+0270.25,-0001.93,
005,395557.20,-01650.677750,+03895.135400,005.70,267.56,+0270.19,-0001.88,
006,395557.30,-01650.677630,+03895.135320,005.84,267.56,+0270.41,-0001.83,
006,395557.40,-01650.677550,+03895.135340,005.31,267.56,+0270.42,-0001.83,
006,395557.50,-01650.677530,+03895.135390,005.18,267.56,+0270.40,-0001.74,
005,395606.10,-01650.675140,+03895.136030,009.63,134.67,+0270.66,+0001.73,
005,395606.20,-01650.675260,+03895.135800,010.39,134.17,+0271.02,+0001.87,
